Evaluation
Total Distance	1043.5688867272954
Used Vehicle Number	10

VehicleID	CustomerID
0	o-5-3-7-8-10-11-9-6-4-2-1-75-47-d
1	o-20-24-25-27-29-30-28-26-23-22-21-49-d
2	o-67-65-63-62-74-72-61-64-59-50-52-d
3	o-43-42-41-40-44-46-45-48-51-66-69-d
4	o-90-87-86-83-82-84-85-88-89-91-d
5	o-98-96-95-94-92-93-97-100-99-d
6	o-57-55-54-53-56-58-60-79-d
7	o-13-17-18-19-15-16-14-12-68-d
8	o-32-33-31-35-37-38-39-36-34-d
9	o-81-78-76-71-70-73-77-80-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
