Evaluation
Total Distance	1347.8223418890984
Used Vehicle Number	11

VehicleID	CustomerID
0	o-20-32-31-35-37-38-39-36-34-50-52-49-d
1	o-57-55-54-53-56-58-60-59-d
2	o-81-78-76-83-82-84-85-88-89-91-1-d
3	o-67-65-63-62-74-72-61-64-68-66-69-d
4	o-43-42-41-40-44-46-45-48-51-22-21-75-47-d
5	o-13-33-18-27-29-30-28-26-23-2-d
6	o-5-17-7-8-15-16-9-12-99-d
7	o-98-96-95-94-92-93-97-100-4-d
8	o-90-87-86-71-70-73-77-79-80-d
9	o-3-25-19-10-11-14-6-d
10	o-24-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
