Evaluation
Total Distance	907.3709700148328
Used Vehicle Number	4

VehicleID	CustomerID
0	o-93-5-75-2-1-99-100-97-92-94-95-98-7-3-4-89-91-88-84-86-83-82-85-71-70-73-80-79-76-78-77-90-87-96-81-41-48-d
1	o-63-72-61-64-62-74-66-69-68-65-49-55-54-53-56-58-60-59-40-44-46-45-51-57-52-25-47-43-42-50-9-13-8-10-11-21-d
2	o-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-18-19-16-14-12-23-15-17-d
3	o-20-67-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
