Evaluation
Total Distance	827.7573853084074
Used Vehicle Number	3

VehicleID	CustomerID
0	o-20-93-5-75-2-1-99-100-97-92-94-95-98-7-3-4-89-91-88-84-86-83-82-85-76-71-73-80-70-81-78-79-96-87-77-90-d
1	o-67-63-62-74-72-61-64-66-69-68-65-49-55-54-53-56-58-59-57-60-44-46-40-51-50-45-47-43-52-41-48-42-10-8-21-d
2	o-22-24-27-30-29-6-32-33-31-35-37-39-36-38-28-26-34-18-19-23-14-12-16-17-13-15-9-11-25-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
